licence_num,licensee_name,building_name,block_house_num,level_num,unit_num,street_name,postal_code
B02040E000,SHENG SIONG SUPERMARKET PTE LTD,na,6A,1,280,WOODLANDS CENTRE ROAD,731006
NW08020K000,COLD STORAGE SINGAPORE (1983) PTE LTD,ADMIRALTY MRT STATION,70,1,5,WOODLANDS AVENUE 7,738344
NW04127A000,NTUC Fairprice Co-operative Ltd,WOODLANDS CIVIC CENTRE,900,B1,1,SOUTH WOODLANDS DRIVE,730900
NW14561E000,7SEVEN PTE. LTD.,na,300,1,3,ADMIRALTY ROAD WEST,757027
B02027A000,PRIME SUPERMARKET LIMITED?,ADMIRALTY PLACE,678,1,716,WOODLANDS AVENUE 6,730678
B02037X000,COLD STORAGE SINGAPORE (1983) PTE LTD,WOODLANDS NORTH PLAZA,883,1,498,WOODLANDS STREET 82,730883
B02035A000,COLD STORAGE SINGAPORE (1983) PTE LTD,VISTA POINT,548,1,37/38,WOODLANDS DRIVE 44,730548
NW13K05E000,NTUC Fairprice Co-operative Ltd,na,570B,1,6,WOODLANDS AVENUE 1,732570
NW15011C000,VENKATESH DEEPA ( VIDEKS GROCERS ),na,686C,1,90,WOODLANDS DRIVE 73,733686
NW11702X000,SHENG SIONG SUPERMARKET PTE LTD,INTERIM RECREATION PARK,200,1,30,WOODLANDS INDUSTRIAL PARK E7,757177
NW08385B000,COLD STORAGE SINGAPORE (1983) PTE LTD,SEMBAWANG SHOPPING CENTRE,604,B1,25,SEMBAWANG ROAD,758459
NW06546V000,NTUC Fairprice Co-operative Ltd,SEMBAWANG MART,511,2,3,CANBERRA ROAD,750511
B02012N000,COLD STORAGE SINGAPORE (1983) PTE LTD,WOODLANDS MART,768,1,34,WOODLANDS AVENUE 6,730768
NW15489B000,PHAN NEE TRADING LLP,WESTLITE WOODLANDS DORMITORY,2,1,5,WOODLANDS SECTOR 2,737723
NW15220L000,FORTUNE SUPERMARKET PTE. LTD.,MULTI STOREY CAR PARK,780,1,1,WOODLANDS CRESCENT,730780
NW07726J000,MM SUNDRY SHOP PTE.LTD.,WOODLANDS DORMITORY,27,1,70,WOODLANDS SECTOR 1,738252
NW15484L000,SONG FISH DEALER PTE LTD,SEMBAWANG SHOPPING CENTRE,604,B1,8,SEMBAWANG ROAD,758459
NW14006E000,DE ESPERTO MINIMART PTE. LTD.,na,190,na,0,WOODLANDS INDUSTRIAL PARK E7,757178
NW13005P000,GAVARASANA SURESH KUMAR,WOODLANDS LODGE ONE,50,1,2,WOODLANDS INDUSTRIAL PARK E4,757388
NW09437C000,COLD STORAGE SINGAPORE (1983) PTE LTD,na,468B,1,29,ADMIRALTY DRIVE,752468
NW14040B000,FORTUNE SUPERMARKET PTE. LTD.,MULTI STOREY CAR PARK,463,1,2,SEMBAWANG DRIVE,750463
NW12H40C000,V SURESH KUMAR,na,51,na,0,ADMIRALTY ROAD WEST - LODGE 1,757443
NW10192C000,PHAN NEE TRADING LLP,COCHRANE LODGE II,49,na,0,ADMIRALTY ROAD WEST,757444
NW07636K000,COLD STORAGE SINGAPORE (1983) PTE LTD,MULTI STOREY CAR PARK,406A,1,2,SEMBAWANG DRIVE,751406
NW04014P000,COLD STORAGE SINGAPORE (1983) PTE LTD,na,102,1,125,YISHUN AVENUE 5,760102
NW12G73N000,PRIME SUPERMARKET (1996) PTE LTD,(#01-348-350-352 AND 354),761,1,348,YISHUN STREET 72,760761
B02038P000,SHENG SIONG SUPERMARKET PTE LTD,na,925,1,211,YISHUN CENTRAL 1,760925
B02093B000,NTUC Fairprice Co-operative Ltd,YISHUN MRT STATION,301,1,2,YISHUN AVENUE 2,769093
NW08441V000,COLD STORAGE SINGAPORE (1983) PTE LTD,NORTHPOINT,930,B1,42675,YISHUN AVENUE 2,769098
B85098V000,NTUC Fairprice Co-operative Ltd,na,239,1,1150,YISHUN RING ROAD,760239
B02039N000,COLD STORAGE SINGAPORE (1983) PTE LTD,na,293,1,261,YISHUN STREET 22,760293
NW04015N000,COLD STORAGE SINGAPORE (1983) PTE LTD,na,291,1,389/3,YISHUN STREET 22,760291
B02041C000,TAN KWEE ENG,na,327,1,1320,YISHUN RING ROAD,760327
W02140C000,COLD STORAGE SINGAPORE (1983) PTE LTD,TURF CLUB SHOPPING CENTRE,200,na,0,TURF CLUB ROAD,287994
NW08141P000,COLD STORAGE SINGAPORE (1983) PTE LTD,CLEMENTI ARCADE,41,1,01A,SUNSET WAY,597071
NW15295X000,COLD STORAGE SINGAPORE (1983) PTE LTD,SIME DARBY CENTRE,896,2,1,DUNEARN ROAD,589472
CE09685B000,COLD STORAGE SINGAPORE (1983) PTE LTD,HILLCREST PARK,20,na,0,GREENWOOD AVENUE,289215
NW15638L000,SFERM PTE. LTD.,THE GRANDSTAND,200,2,K111,TURF CLUB ROAD,287994
NW15551B000,CENTURY GLOBAL PTE. LTD.,BINJAI PARK,5,na,0,BINJAI PARK,589820
CE07705A000,SWISS BUTCHERY (2013) PRIVATE LIMITED,HILLCREST PARK,30,na,0,GREENWOOD AVENUE,289230
B03078N000,ROSWELL ENTERPRISE PTE LTD,na,34,na,0,GREENWOOD AVENUE,289236
CE09902A000,NG LIAN TEE,GREENDALE COURT,7,na,0,GREENDALE AVENUE,289504
NW15264K000,ALTERNATIVE SELECTION PTE. LTD.,BINJAI PARK,29,na,0,BINJAI PARK,589831
SW12L48X000,AJMAL TRADE MART PTE. LTD.,"1ST STOREY, LODGE 1 WORKERS' DORMITORY",12,na,0,KRANJI ROAD,739522
J87134E000,BALASUBRAMANIYAN KANNADASAN,1ST STOREY,257,na,0,KRANJI ROAD,739503
SW09032C000,NTUC Fairprice Co-operative Ltd,YEW TEE POINT,21,B1,42552,CHOA CHU KANG NORTH 6,689578
SW13120A000,SADIA SUPERMARKET & TRADING (S) PTE. LTD.,"1ST STOREY, BLK B, WORKERS DORMITORY",17,na,0,SUNGEI KADUT STREET 4,729045
SW15796X000,NTUC Fairprice Co-operative Ltd,LIMBANG SHOPPING CENTRE (HDB),533,1,11,CHOA CHU KANG STREET 51,680533
B02099L000,NTUC Fairprice Co-operative Ltd,na,849,1,3703,YISHUN RING ROAD,760849
B99041L000,NTUC Fairprice Co-operative Ltd,ORCHID COUNTRY CLUB,1,1,34,ORCHID CLUB ROAD,769162
B02008E000,SHENG SIONG SUPERMARKET PTE LTD,na,845,1,184,YISHUN STREET 81,760845
CE05039P000,COLD STORAGE SINGAPORE (1983) PTE LTD,KHATIB MRT STATION,201,1,3,YISHUN AVENUE 2,769092
W03223N000,KAI SOON SUPERMARKET PTE. LTD.,na,780,1,3546,YISHUN RING ROAD,760780
B92077A000,COLD STORAGE SINGAPORE (1983) PTE LTD,na,418,1,433,YISHUN AVENUE 11,760418
B02025C000,NTUC Fairprice Co-operative Ltd,na,414,1,1853,YISHUN RING ROAD,760414
NW07277P000,NTUC Fairprice Co-operative Ltd,na,355,1,1,SEMBAWANG WAY,750355
B02021L000,NTUC Fairprice Co-operative Ltd,SUN PLAZA,30,B1,42430,SEMBAWANG DRIVE,757713
NW11577N000,PHAN NEE INVESTMENTS (S) PTE LTD,SIMPANG LODGE 2,2C,1,3,YISHUN AVENUE 7,768930
NW08337X000,PHAN NEE TRADING LLP,na,2B,1,1,YISHUN AVENUE 7,768929
B02032E000,COLD STORAGE SINGAPORE (1983) PTE LTD,na,161,1,504,ANG MO KIO AVENUE 4,560161
CE12V01C000,COLD STORAGE SINGAPORE (1983) PTE LTD,SEMBAWANG HILLS ESTATE,16,na,0,JALAN KURAS,577729
SE04012L000,NTUC Fairprice Co-operative Ltd,JOO CHIAT COMPLEX,2,1,1139,JOO CHIAT ROAD,420002
S91085V000,NTUC Fairprice Co-operative Ltd,na,110,1,233/5,LENGKONG TIGA,410110
E02041X000,PRIME SUPERMARKET LIMITED?,na,25A,1,459,CHAI CHEE ROAD,461025
E02072C000,Teo Bobby,na,29,1,62,CHAI CHEE AVENUE,460029
SE11317V000,EN FROZEN PTE LTD,na,1,1,198,GEYLANG SERAI,402001
E75097C000,PRIME SUPERMARKET (1996) PTE LTD,na,18,1,87,BEDOK SOUTH ROAD,460018
SE13S71X000,NTUC Fairprice Co-operative Ltd,na,57,1,1334,NEW UPPER CHANGI ROAD,461057
SE06125B000,GOLDEN TICKET SINGAPORE PTE. LTD.,BAYSHORE PARK,54,1,42650,BAYSHORE ROAD,469979
SE13135L000,NTUC Fairprice Co-operative Ltd,BEDOK MALL,311,B2,60,NEW UPPER CHANGI ROAD,467360
SE04069A000,SHENG SIONG SUPERMARKET PTE LTD,na,209,1,631,NEW UPPER CHANGI ROAD,460209
E02035N000,NTUC Fairprice Co-operative Ltd,na,212,1,147,BEDOK NORTH STREET 1,460212
E02026P000,COLD STORAGE SINGAPORE (1983) PTE LTD,EASTWOOD CENTRE,20,1,42620,EASTWOOD ROAD,486442
SE12G19X000,NTUC Fairprice Co-operative Ltd,UE BIZHUB EAST #01-51 & #02-51,8,na,0,CHANGI BUSINESS PARK AVENUE 1,486018
SE11D22K000,L M MEAT PTE. LTD,CHANGI CITY POINT,5,B1,23,CHANGI BUSINESS PARK CENTRAL 1,486038
SE13U39E000,NTUC Fairprice Co-operative Ltd,CHANGI AIRPORT T2 - BASEMENT LEVEL SOUTH,60,B16,29,AIRPORT BOULEVARD,819643
SE07559P000,NTUC Fairprice Co-operative Ltd,CHANGI AIRPORT TERMINAL 3,65,B2,10,AIRPORT BOULEVARD,819663
SE11799C000,CP MANAGEMENT SERVICES PRIVATE LIMITED,CHANGI LODGE 2,80,1,2,TANAH MERAH COAST ROAD,498820
E03034J000,SHENG SIONG SUPERMARKET PTE LTD,na,115,1,319,BEDOK NORTH ROAD,460115
SE14377P000,COLD STORAGE SINGAPORE (1983) PTE LTD,EAST VILLAGE,430,1,47,UPPER CHANGI ROAD,487048
E02047E000,COLD STORAGE SINGAPORE (1983) PTE LTD,BEDOK SHOPPING COMPLEX,348,1,1,BEDOK ROAD,469560
SE11071C000,NTUC Fairprice Co-operative Ltd,na,89,1,77/79,BEDOK NORTH STREET 4,460089
SE12D59V000,THNG CHYE BOON,na,343,na,0,BEDOK ROAD,469526
SE14775X000,NTUC Fairprice Co-operative Ltd,EASTPOINT MALL,3,5,1,SIMEI STREET 6,528833
E02036L000,NTUC Fairprice Co-operative Ltd,SINGAPORE POST,10,B2,13,EUNOS ROAD 8,408600
SE14A83A000,COLD STORAGE SINGAPORE (1983) PTE LTD,PAYA LEBAR SQUARE,60,B1,42491,PAYA LEBAR ROAD,409051
SE09706N000,NTUC Fairprice Co-operative Ltd,na,5,1,2619,EUNOS CRESCENT,400005
SE14875L000,COLD STORAGE SINGAPORE (1983) PTE LTD,ONE KM,11,B1,36,TANJONG KATONG ROAD,437157
SE14920N000,TANESEI RETAILING PTE. LTD.,ONE KM,11,B1,12,TANJONG KATONG ROAD,437157
SE11577E000,NTUC Fairprice Co-operative Ltd,na,612-620,na,0,GEYLANG ROAD,389551
E02048C000,COLD STORAGE SINGAPORE (1983) PTE LTD,TANJONG KATONG COMPLEX,845,1,8,GEYLANG ROAD,400845
SE11136C000,I-TEC SUPERMART PTE LTD,GREEN COURT,498/500,na,0,GEYLANG ROAD,389456
SE15464L000,ABEDIN TRADING PTE. LTD.,na,599,1,1,GEYLANG ROAD,389538
SE14467N000,NTUC Fairprice Co-operative Ltd,KALLANG WAVE MALL,1,1,29,STADIUM PLACE,397628
SE07216L000,COLD STORAGE SINGAPORE (1983) PTE LTD,LEISURE PARK,5,B1,1,STADIUM WALK,397693
SE16122V000,NTUC Fairprice Co-operative Ltd,MACPHERSON MALL,401,2,22/29,MACPHERSON ROAD,368125
SE04040C000,PRIME SUPERMARKET LIMITED?,na,1,1,1,UPPER ALJUNIED LANE,360001
SE08722A000,SIVAMANI MINIMART PTE LTD,na,141,na,0,UPPER PAYA LEBAR ROAD,534846
SE12F88V000,SARATHI STORES PTE LTD,na,91,na,0,UPPER PAYA LEBAR ROAD,534821
SE06465L000,TAN PAK NANG,na,387,na,0,UPPER ALJUNIED ROAD,367872
E02030B000,COLD STORAGE SINGAPORE (1983) PTE LTD,na,306,1,185,UBI AVENUE 1,400306
NE10228C000,KPM MINI MART PTE LTD,SCAL DORMITORY (HOUGANG ),200,1,3,HOUGANG AVENUE 3,538848
E02028L000,COLD STORAGE SINGAPORE (1983) PTE LTD,na,266,1,255,SERANGOON CENTRAL DRIVE,550266
SE05117K000,Teo Bobby,na,253,1,241,SERANGOON CENTRAL DRIVE,550253
SE10564B000,NTUC Fairprice Co-operative Ltd,NEX,23,3,42,SERANGOON CENTRAL,556083
SE10579K000,COLD STORAGE SINGAPORE (1983) PTE LTD,NEX,23,B2,44/45,SERANGOON CENTRAL,556083
SE04130B000,NTUC Fairprice Co-operative Ltd,na,41,1,5,JALAN TIGA,390041
SE14965K000,"CHEE MIN KUAN, SIMON",na,342,na,0,TANJONG KATONG ROAD,437112
SE15043B000,ANGLISS SINGAPORE PTE LTD,na,313,na,0,TANJONG KATONG ROAD,437096
E02044L000,SIM CHIANG LEE,na,443,na,0,TANJONG KATONG ROAD,437150
E02034P000,NTUC Fairprice Co-operative Ltd,na,114,1,75,ALJUNIED AVENUE 2,380114
E02045K000,COLD STORAGE SINGAPORE (1983) PTE LTD,na,118,1,100,ALJUNIED AVENUE 2,380118
SE16233J000,SHENG SIONG SUPERMARKET PTE LTD,MACPHERSON RESIDENCY,18B,1,260,CIRCUIT ROAD,372018
E95315V000,NTUC Fairprice Co-operative Ltd,na,77,1,464/6,CIRCUIT ROAD,370077
SE13S89V000,COLD STORAGE SINGAPORE (1983) PTE LTD,SIGLAP V,2,1,42491,FIRST STREET,458278
E83157K000,NTUC Fairprice Co-operative Ltd,na,934,na,0,EAST COAST ROAD,459125
SE06112L000,COLD STORAGE SINGAPORE (1983) PTE LTD,MANDARIN GARDENS,15,1,1,SIGLAP ROAD,448912
SE14C27C000,ZAC MEAT & POULTRY PTE LTD,OPERA ESTATE,1B,na,0,FIGARO STREET,458322
SE13U91V000,NTUC Fairprice Co-operative Ltd,VILLAGE HOTEL KATONG,30,1,42619,EAST COAST ROAD,428751
E02027N000,COLD STORAGE SINGAPORE (1983) PTE LTD,PARKWAY PARADE SHOPPING CENTRE,80,B1,84,MARINE PARADE ROAD,449269
E02196C000,COLD STORAGE SINGAPORE (1983) PTE LTD,PARKWAY PARADE,80,3,27/62,MARINE PARADE ROAD,449269
SE11930L000,COLD STORAGE SINGAPORE (1983) PTE LTD,112 KATONG,112,B1,12,EAST COAST ROAD,428802
E02096K000,NTUC Fairprice Co-operative Ltd,NTUC FAIRPRICE SUPERMARKET,6,na,0,MARINE PARADE CENTRAL,449411
SE11A69V000,TANESEI RETAILING PTE. LTD.,112 KATONG,112,B1,9,EAST COAST ROAD,428802
SE10553J000,FOUR SEASONS ORGANIC MARKET PTE. LTD.,PARKWAY PARADE,80,B1,83A,MARINE PARADE ROAD,449269
SE05244V000,THE BUTCHER (SINGAPORE) PTE. LTD.,PARKWAY PARADE,80,B1,83B,MARINE PARADE ROAD,449269
SE08389J000,CHO YONG BEOM,PARKWAY PARADE,80,B1,84A,MARINE PARADE ROAD,449269
SE11505P000,COLD STORAGE SINGAPORE (1983) PTE LTD,na,291,1,1,JOO CHIAT ROAD,427540
SE09608P000,COLD STORAGE SINGAPORE (1983) PTE LTD,na,56,1,259,MARINE TERRACE,440056
E98161V000,NTUC Fairprice Co-operative Ltd,na,239/255,na,0,EAST COAST ROAD,428932
SW16921N000,CHENNAI TRADING & SUPERMART PTE. LTD.,na,1,1,35,JALAN PAPAN,619392
SW16126J000,TUAS SOUTH MINIMART PTE. LTD.,CDPL (TUAS) DORMITORY,6,na,0,TUAS SOUTH STREET 15,636906
SW06590A000,COLD STORAGE SINGAPORE (1983) PTE LTD,VIVOCITY,1,1,23,HARBOURFRONT WALK,098585
SW12G71E000,COLD STORAGE SINGAPORE (1983) PTE LTD,#02-07/08/09/10 SENTOSA COVE ARRIVAL PLAZA,1,na,0,COVE AVENUE,098537
SW12N25V000,COLD STORAGE SINGAPORE (1983) PTE LTD,"QUAYSIDE ISLE, SENTOSA",31,1,26/27,OCEAN WAY,098375
SW11A26P000,NTUC Fairprice Co-operative Ltd,"#01-09 & #01-16 PSA BLDG, ALEXANDRA RETAIL CENTRE",460,na,0,ALEXANDRA ROAD,119963
SW08662J000,COLD STORAGE SINGAPORE (1983) PTE LTD,CONNEXIS OF FUSIONOPOLIS,1,B2,10,FUSIONOPOLIS WAY,138632
SW04158X000,NTUC Fairprice Co-operative Ltd,DEPOT HEIGHTS SHOPPING CENTRE,108,1,1,DEPOT ROAD,100108
SW11452C000,NTUC Fairprice Co-operative Ltd,MULTI STOREY CAR PARK,78A,1,1,TELOK BLANGAH STREET 32,101078
C03010C000,COLD STORAGE SINGAPORE (1983) PTE LTD,#01-47/48/49/50 HARBOURFRONT CENTRE,1,na,0,MARITIME SQUARE,099253
SW13245V000,NTUC Fairprice Co-operative Ltd,ONE@KENTRIDGE,1,2,16,LOWER KENT RIDGE ROAD,119082
SW12J97L000,COLD STORAGE SINGAPORE (1983) PTE LTD,#B1-35/36 AND 02 THE STAR VISTA,1,na,0,VISTA EXCHANGE GREEN,138617
SW12J94X000,TANESEI TRADING PTE. LTD.,THE STAR VISTA,1,B1,28,VISTA EXCHANGE GREEN,138617
C02035P000,NTUC Fairprice Co-operative Ltd,na,451,1,307,CLEMENTI AVENUE 3,120451
SW10A16E000,NTUC Fairprice Co-operative Ltd,#B1-12/13/14 THE CLEMENTI MALL,3155,na,0,COMMONWEALTH AVE WEST,129588
SW07331C000,SHENG SIONG SUPERMARKET PTE LTD,na,352,1,91&99,CLEMENTI AVENUE 2,120352
SW07481A000,NTUC Fairprice Co-operative Ltd,MULTI STOREY CAR PARK,28,1,83,DOVER CRESCENT,130028
C02047J000,U STARS SUPERMARKET PTE. LTD.,na,345,1,78,CLEMENTI AVENUE 5,120345
SW12M67E000,SHENG SIONG SUPERMARKET PTE LTD,na,420A,1,1,CLEMENTI AVENUE 1,121420
SW12F58E000,NTUC Fairprice Co-operative Ltd,CLEMENTI AVENUE 2 SHOPPING CENTRE,352,1,141,CLEMENTI AVENUE 2,120352
SW08A55C000,LI LI CHENG SUPERMARKET PTE. LTD.,na,51,na,0,SOON LEE ROAD,628088
SW14817E000,SHENG SIONG SUPERMARKET PTE LTD,PENJURU RECREATION CENTRE,27,1,24,PENJURU WALK,608538
SW09346X000,BFN FOODS PTE. LTD.,TERUSAN LODGE ONE,5A,na,0,JALAN PAPAN,619396
SW16814X000,VINAYAK TRADERS PTE. LTD.,na,1,1,33,JALAN PAPAN,619392
SW11512N000,KINGS SUPERMARKET PTE. LTD.,CASSIA@PENJURU,23,3,81,PENJURU WALK,608537
SW08219P000,AJMAL TRADING GROUP PTE. LTD.,SOON LEE LODGE,31,na,0,SOON LEE ROAD,628087
SW09426V000,PHANG NEE ENTERPRISE PTE. LTD.,na,2D,1,4,JALAN PAPAN,619415
SW14A33P000,VINAYAK TRADERS PTE. LTD.,PENJURU RECREATION CENTRE,27,1,42621,PENJURU WALK,608538
SW14A05B000,HAJI TRADERS PTE. LTD,#01-18 & #01-21 PENJURU RECREATION CENTRE,27,na,0,PENJURU WALK,608538
SW15051V000,ARCHANA PROVISION STORES PTE. LTD,PENJURU RECREATION CENTRE,27,1,42557,PENJURU WALK,608538
J03027B000,KADER HASNA MARICAN,na,17,1,65,KIAN TECK LANE,627851
SW14A98C000,GURU'S MARKETING PTE. LTD.,PENJURU RECREATION CENTRE,27,1,15,PENJURU WALK,608538
SW16735N000,GURU'S MARKETING PTE. LTD.,na,1,1,31,JALAN PAPAN,619392
SW16856V000,ARCHANA SUPERMARKET PTE. LTD.,na,1,1,29,JALAN PAPAN,619392
SW07E27X000,KINGSMART PTE. LTD.,na,30,1,42557,PENJURU PLACE,608557
SW10458A000,SHAFEN SUPERMARKET & TRADING (S) PTE. LTD.,TUAS LODGE 1,90,1,6,TUAS SOUTH AVENUE 9,637397
SW14718K000,AJMAL SUPER MART PTE. LTD.,TUAS VIEW DORMITORY,70,1,40,TUAS SOUTH AVENUE 1,637285
SW16224E000,NAWAS GLOBAL PTE. LTD.,TUAS SOUTH DORMITORY,3,1,16,TUAS SOUTH STREET 12,636947
SW15053P000,LAI LAI SUPERMART PTE. LTD.,TUAS VIEW DORMITORY,70,1,39,TUAS SOUTH AVENUE 1,637285
SW14824J000,SRI SURIYA'S MARKETING PTE. LTD.,na,11,1,3,TECH PARK CRESCENT,638121
SW09752V000,SHANMUGHA ENTERPRISES PTE. LTD,na,5,1,2,TECH PARK CRESCENT,638127
SW10282L000,J.I.C. ENTERPRISES PTE. LTD.,SPRINTECS INDUSTRIAL BUILDING,2,1,7,TUAS SOUTH STREET 2,637895
SW09288C000,SADIA SUPERMARKET & TRADING (S) PTE. LTD.,na,14,1,2,TECH PARK CRESCENT,638118
SW14B28C000,SRI SURIYA'S MARKETING PTE. LTD.,"(PART OF- FRONT), FIRST STOREY, WESTLINK TECHPARK",115,na,0,TUAS VIEW WALK 1,637734
SW16901A000,SADIA SUPERMARKET & TRADING (S) PTE. LTD.,na,12,1,20/21,TUAS SOUTH STREET 13,636937
SW15681P000,NPS IMPEX PTE. LTD,(PART OF),21,na,0,TUAS VIEW SQUARE,637640
SW14632V000,TU HEE TRADING PTE. LTD.,"GROUND FLOOR - UNIT 2, WESTLINK TECHPARK",123,na,0,TUAS VIEW WALK 1,637738
SW10780J000,JAYTARRANI PTE. LTD.,na,32,1,2,TUAS VIEW SQUARE,637778
J02019K000,PRIME SUPERMARKET LIMITED?,na,962,1,300,JURONG WEST STREET 91,640962
SW07209E000,SHENG SIONG SUPERMARKET PTE LTD,na,7,na,0,JURONG WEST AVE 5,649486
SW05008N000,COLD STORAGE SINGAPORE (1983) PTE LTD,PIONEER MALL,638,3,1,JURONG WEST STREET 61,640638
SW15D03B000,PRIME SUPERMARKET (1996) PTE LTD,"NORTH SPINE , NTU",50,NS3,46023,NANYANG AVENUE,639798
SW14951X000,NTUC Fairprice Co-operative Ltd,#02-21 & #03-21 FAIRPRICE HUB,1,na,0,JOO KOON CIRCLE,629117
C02038K000,NTUC Fairprice Co-operative Ltd,JURONG POINT,1,B1,9,JURONG WEST CENTRAL 2,648886
C02041V000,NTUC Fairprice Co-operative Ltd,#01-43A & 01-35,399,na,0,YUNG SHENG ROAD,610399
C02050X000,SHENG SIONG SUPERMARKET PTE LTD,#01-01A/02,3,1,0,YUAN CHING ROAD,618642
C02040A000,NTUC Fairprice Co-operative Ltd,#01-119/02-119,63/66,na,0,YUNG KUANG ROAD,610063
SW08A59X000,NTUC Fairprice Co-operative Ltd,#03-01 JURONG POINT SHOPPING CENTRE,63,na,0,JURONG WEST CENTRAL 3,648331
SW08907C000,GOWRI'S GLOBAL MARKETING PTE. LTD.,na,555,1,2,UPPER JURONG ROAD,638368
C85274C000,NTUC Fairprice Co-operative Ltd,na,BLK 345,1,29,JURONG EAST STREET 31,600345
J02009N000,SHENG SIONG SUPERMARKET PTE LTD,na,544,1,97/99,JURONG WEST STREET 42,640544
SW12H20A000,NTUC Fairprice Co-operative Ltd,#01-434/436/438,498,na,0,JURONG WEST STREET 41,640498
J02013A000,NTUC Fairprice Co-operative Ltd,BOON LAY SHOPPING CENTRE,221,2,200,BOON LAY PLACE,640221
J02016P000,NG TOH TET,na,442,1,756,JURONG WEST AVENUE 1,640442
J03056N000,COLD STORAGE SINGAPORE (1983) PTE LTD,#01-24/26/28,492,na,0,JURONG WEST STREET 41,640492
C02037L000,NTUC Fairprice Co-operative Ltd,na,135,1,337,JURONG EAST STREET 13,600135
SW13W88P000,ISETAN (SINGAPORE) LIMITED?,WESTGATE,3,B2,1,GATEWAY DRIVE,608532
SW14826C000,BIG BOX SINGAPORE PTE. LTD.,BIG BOX,1,1,12,VENTURE AVENUE,608521
SW13T12J000,NTUC Fairprice Co-operative Ltd,JEM,50,B1,21/22,JURONG GATEWAY ROAD,608549
C02051P000,ONE EIGHT SHOP PTE. LTD.,(PART OF) - LEFT SIDE,104,1,110,JURONG EAST STREET 13,600104
C02036N000,NTUC Fairprice Co-operative Ltd,BUKIT TIMAH PLAZA,1,LG,1,JALAN ANAK BUKIT,588996
C02026X000,COLD STORAGE SINGAPORE (1983) PTE LTD,IMM BUILDING,2,1,100,JURONG EAST STREET 21,609601
SW07070J000,COLD STORAGE SINGAPORE (1983) PTE LTD,na,284,1,251,BUKIT BATOK EAST AVENUE 3,650284
C02048E000,COLD STORAGE SINGAPORE (1983) PTE LTD,BEAUTY WORLD CENTRE,144,B1,1,UPPER BUKIT TIMAH ROAD,588177
SW14017K000,SHAFEN SUPERMARKET & TRADING (S) PTE. LTD.,"BLK 28, WESTLITE DORMITORY (TOH GUAN)",18,2,2,TOH GUAN ROAD EAST,608596
SW06002X000,TAY CHONG BENG,na,19,1,65,TOH GUAN ROAD EAST,608568
SW13Q24X000,NTUC Fairprice Co-operative Ltd,na,280,1,315,BUKIT BATOK EAST AVENUE 3,650280
SW14484J000,T S J INDUSTRIAL (S) PTE. LTD.,ENTERPRISE HUB,48,1,130,TOH GUAN ROAD EAST,608586
SW08379J000,WONS BUTCHERY PTE. LTD.,GOH & GOH BUILDING,122,na,0,UPPER BUKIT TIMAH ROAD,588175
C64022P000,ZAC MEAT & POULTRY PTE LTD,HOOVER PARK,14,na,0,CHUN TIN ROAD,599601
SW04097K000,PRIME SUPERMARKET LIMITED?,na,159,1,178,BUKIT BATOK STREET 11,650159
C02046K000,COLD STORAGE SINGAPORE (1983) PTE LTD,WEST MALL,1,B1,1,BUKIT BATOK CENTRAL LINK,658713
C02104B000,NTUC Fairprice Co-operative Ltd,na,10,1,8,BUKIT BATOK CENTRAL,659958
SW13126K000,BALU MINIMART PTE. LTD,"JURONG LODGE ONE , BLK A",501A,na,0,JURONG ROAD,649698
SW08821N000,NTUC Fairprice Co-operative Ltd,na,140,1,351,TECK WHYE LANE,680140
J02021A000,COLD STORAGE SINGAPORE (1983) PTE LTD,na,376,1,116,BUKIT BATOK STREET 31,650376
J02020B000,PRIME SUPERMARKET (1996) PTE LTD,na,142,1,281,TECK WHYE LANE,680142
J02017N000,PRIME SUPERMARKET LIMITED?,na,373,1,248,BUKIT BATOK STREET 31,650373
SW11423N000,SHENG SIONG SUPERMARKET PTE LTD,na,18,1,95,TECK WHYE LANE,680018
SW14633X000,NTUC Fairprice Co-operative Ltd,HomeTeamNS BUKIT BATOK CLUBHOUSE,2,1,10,BUKIT BATOK WEST AVENUE 7,659003
SW14542A000,COLD STORAGE SINGAPORE (1983) PTE LTD,HILLV2,4,2,7,HILLVIEW RISE,667979
C02053L000,NTUC Fairprice Co-operative Ltd,#01-256/258,166,na,0,BUKIT BATOK WEST AVENUE 8,650166
C02033V000,SHENG SIONG SUPERMARKET PTE LTD,na,154A,1,1,BUKIT BATOK WEST AVENUE 8,651154
SW06322N000,OH BENG GUAN,MULTI STOREY CAR PARK,395A,3,10,BUKIT BATOK WEST AVENUE 5,651395
J96145K000,NTUC Fairprice Co-operative Ltd,LOT 1 SHOPPERS' MALL,21,B1,3,CHOA CHU KANG AVENUE 4,689812
SW16815P000,PHAN NEE INVESTMENTS (S) PTE LTD,na,500,1,2,OLD CHOA CHU KANG ROAD,698928
J02018L000,PRIME SUPERMARKET (1996) PTE LTD,na,253,B1,42650,CHOA CHU KANG AVENUE 1,680253
J02010E000,COLD STORAGE SINGAPORE (1983) PTE LTD,na,475,1,1,CHOA CHU KANG AVENUE 3,680475
SW11251X000,AJMAL TRADE MART PTE. LTD.,BLK 1 SCAL DORMITORY (1ST STOREY),11,na,0,JALAN LEKAR,698918
SW08740N000,AJMAL TRADING GROUP PTE. LTD.,na,1A,na,0,MURAI FARMWAY,709154
